Name,Symbol,Start Date,Hist.,Category,From Currency,To Currency,Source,Full Name,Activity
CHILEAN PESO TO US $ (WMR),CHILPE$,1993/12/31,1993,Exchange Rates,Chilean Peso,United States Dollar,WM/Reuters,Chilean Peso to United States Dollar (WMR),Active
JPM US NEER NOMINAL,JPUSEEN,1994/1/4,1994,Exchange Rates,United States Dollar,United States Dollar,J.P. Morgan,JP Morgan US Neer Nominal,Active
NORWEGIAN KRONE TO US $ (WMR),NORKRO$,1993/12/31,1993,Exchange Rates,Norwegian Krone,United States Dollar,WM/Reuters,Norwegian Krone to United States Dollar (WMR),Active
POLISH ZLOTY TO US $ (WMR),POLZLO$,1995/1/3,1995,Exchange Rates,Polish Zloty,United States Dollar,WM/Reuters,Polish Zloty to United States Dollar (WMR),Active
BRAZILIAN REAL TO US $ (RFV),TDBRLSP,1992/12/21,1992,Exchange Rates,Brazilian Real,United States Dollar,Refinitiv,Brazilian Real to United States Dollar (Refinitiv),Active
JP MORGAN EMERGING MARKETS FX INDEX,JPMEMCI,2010/6/24,2010,Exchange Rates,-,United States Dollar,J.P. Morgan,JP Morgan Emerging Markets FX Index,Active
BRAZILIAN REAL TO US $ (BR),BRUSDSP,1994/10/10,1994,Exchange Rates,Brazilian Real,United States Dollar,Banco Central do Brasil,Brazilian Real to United States Dollar (BR),Active
CAD TO USD (BOE),CNUSBOE,1975/1/2,1975,Exchange Rates,Canadian Dollar,United States Dollar,Bank of England,Canadian Dollar to USD (BOE),Active
CHINESE YUAN TO US $ (RFV),TDCNYSP,1992/2/6,1992,Exchange Rates,Chinese Yuan Renminbi,United States Dollar,Refinitiv,Chinese Yuan to United States Dollar (Refinitiv),Active
DANISH KRONE TO US $ (WMR),DANISH$,1993/12/31,1993,Exchange Rates,Danish Krone,United States Dollar,WM/Reuters,Danish Krone to United States Dollar (WMR),Active
MSCI CNY TO 1 USD,MSERCNY,1995/12/22,1995,Exchange Rates,Chinese Yuan Renminbi,United States Dollar,MSCI,MSCI CNY to 1 USD,Active
MSCI JPY TO 1 USD,MSERJPY,1969/12/31,1969,Exchange Rates,Japanese Yen,United States Dollar,MSCI,MSCI Japanese Yen to 1 USD,Active
THAI BAHT TO US $ (WMR),THABAH$,1993/12/31,1993,Exchange Rates,Thai Baht,United States Dollar,WM/Reuters,Thai Baht to United States Dollar (WMR),Active
ZAR TO USD (BOE),SAUSBOE,1975/1/2,1975,Exchange Rates,South African Rand,United States Dollar,Bank of England,ZAR to USD (BOE),Active
AUSTRALIAN $ TO US $ (RFV),TDAUDSI,1989/10/16,1989,Exchange Rates,Australian Dollar,United States Dollar,Refinitiv,Australian Dollar to United States Dollar (Refinitiv),Active
CANADIAN $ TO US $ (RFV),TDCADSP,1989/10/16,1989,Exchange Rates,Canadian Dollar,United States Dollar,Refinitiv,Canadian Dollar to United States Dollar (Refinitiv),Active
CHF TO USD (BOE),SWUSBOE,1975/1/2,1975,Exchange Rates,Swiss Franc,United States Dollar,Bank of England,Swiss Franc to USD (BOE),Active
COLOMBIAN PESO TO US $ (WMR),COLUPE$,1993/12/31,1993,Exchange Rates,Colombian Peso,United States Dollar,WM/Reuters,Colombian Peso to United States Dollar (WMR),Active
EURO TO US $ (RFV),TEUSDSP,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar (Refinitiv),Active
MSCI EURO TO 1 USD,MSEREUR,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,MSCI,MSCI Euro to 1 USD,Active
NEW TURKISH LIRA TO US $ (TK),TKUSDSP,1977/3/1,1977,Exchange Rates,Turkish Lira,United States Dollar,Central Bank of the Republic of Turkey,New Turkish Lira to United States Dollar (TK),Active
SWISS FRANC TO US $ (RFV),TDCHFSP,1989/10/16,1989,Exchange Rates,Swiss Franc,United States Dollar,Refinitiv,Swiss Franc to United States Dollar (Refinitiv),Active
CHILEAN PESO TO US $ (RFV),TDCLPSP,1990/11/19,1990,Exchange Rates,Chilean Peso,United States Dollar,Refinitiv,Chilean Peso to United States Dollar (Refinitiv),Active
GERMAN MARK TO US $ (WMR),DMARKE$,1993/12/31,1993,Exchange Rates,German Mark,United States Dollar,WM/Reuters,German Mark to United States Dollar (WMR),Active
INDIAN RUPEE TO US $ (RFV),TDINRSP,1990/5/30,1990,Exchange Rates,Indian Rupee,United States Dollar,Refinitiv,Indian Rupee to United States Dollar (Refinitiv),Active
INDONESIAN RUPIAH TO US $ (RFV),TDIDRSP,1990/11/19,1990,Exchange Rates,Indonesian Rupiah,United States Dollar,Refinitiv,Indonesian Rupiah to United States Dollar (Refinitiv),Active
INR TO USD (BOE),INUSBOE,2005/4/1,2005,Exchange Rates,Indian Rupee,United States Dollar,Bank of England,INR to USD (BOE),Active
MALAYSIAN RINGGIT TO US $ (WMR),MALADL$,1993/12/31,1993,Exchange Rates,Malaysian Ringgit,United States Dollar,WM/Reuters,Malaysian Ringgit to United States Dollar (WMR),Active
MSCI AUD TO 1 USD,MSERAUD,1969/12/31,1969,Exchange Rates,Australian Dollar,United States Dollar,MSCI,MSCI Australian Dollar to 1 USD,Active
MSCI BRL TO 1 USD,MSERBRL,1987/12/31,1987,Exchange Rates,Brazilian Real,United States Dollar,MSCI,MSCI BRL to 1 USD,Active
MSCI RUB TO 1 USD,MSERRUR,1994/12/29,1994,Exchange Rates,Russian Federation Ruble,United States Dollar,MSCI,MSCI Rub to 1 USD,Active
NEW TURKISH LIRA TO US $ (RFV),TDTRYSP,1990/5/30,1990,Exchange Rates,Turkish Lira,United States Dollar,Refinitiv,New Turkish Lira to United States Dollar (Refinitiv),Active
NEW ZEALAND $ TO US $ (RFV),NZDOLLI,1993/12/31,1993,Exchange Rates,New Zealand Dollar,United States Dollar,Refinitiv,New Zealand Dollar to United States Dollar (Refinitiv),Active
PHILIPPINE PESO TO US $ (WMR),PHILPE$,1993/12/31,1993,Exchange Rates,Philippine Peso,United States Dollar,WM/Reuters,Philippine Peso to United States Dollar (WMR),Active
RUSSIAN ROUBLE TO US $,RSUSDSP,1992/7/1,1992,Exchange Rates,Russian Federation Ruble,United States Dollar,The Central Bank of the Russian Federation,Russian Rouble to United States Dollar,Active
HONG KONG $ TO US $ (RFV),TDHKDSP,1989/10/25,1989,Exchange Rates,Hong Kong Dollar,United States Dollar,Refinitiv,Hong Kong Dollar to United States Dollar (Refinitiv),Active
JPM US REER CPI (2010=100),JPUSEEC,1994/1/4,1994,Exchange Rates,United States Dollar,United States Dollar,J.P. Morgan,JP Morgan US Reer CPI (2010 = 100),Active
MALAYSIAN RINGGIT TO US $ (BNM),MLUSD..,1997/1/2,1997,Exchange Rates,Malaysian Ringgit,United States Dollar,Central Bank of Malaysia,Malaysian Ringgit to United States Dollar (BNM),Active
MALAYSIAN RINGGIT TO US $ (RFV),TDMYRSP,1989/10/26,1989,Exchange Rates,Malaysian Ringgit,United States Dollar,Refinitiv,Malaysian Ringgit to United States Dollar (Refinitiv),Active
MYR TO USD (BOE),MYUSBOE,2005/4/1,2005,Exchange Rates,Malaysian Ringgit,United States Dollar,Bank of England,MYR to USD (BOE),Active
NOK TO USD (BOE),NWUSBOE,1975/1/2,1975,Exchange Rates,Norwegian Krone,United States Dollar,Bank of England,NOK to USD (BOE),Active
NZD TO USD (BOE),NZUSBOE,1975/1/2,1975,Exchange Rates,New Zealand Dollar,United States Dollar,Bank of England,NZD to USD (BOE),Active
PERUVIAN SOL TO US $ (WMR),PERUSO$,1993/12/31,1993,Exchange Rates,Peruvian Sol,United States Dollar,WM/Reuters,Peruvian Sol to United States Dollar (WMR),Active
PHILIPPINE PESO TO US $ (RFV),TDPHPSP,1992/5/18,1992,Exchange Rates,Philippine Peso,United States Dollar,Refinitiv,Philippine Peso to United States Dollar (Refinitiv),Active
RUSSIAN ROUBLE TO US $ (RFV),TDRUBSP,1996/1/5,1996,Exchange Rates,Russian Federation Ruble,United States Dollar,Refinitiv,Russian Rouble to United States Dollar (Refinitiv),Active
SAUDI RIYAL TO US $ (WMR),SAUDRI$,1993/12/31,1993,Exchange Rates,Saudi Arabian Riyal,United States Dollar,WM/Reuters,Saudi Riyal to United States Dollar (WMR),Active
SINGAPORE $ TO US $ (RFV),TDSGDSP,1989/10/26,1989,Exchange Rates,Singaporean Dollar,United States Dollar,Refinitiv,Singapore$ to United States Dollar (Refinitiv),Active
TAIWAN NEW $ TO US $ (WMR),TAIWDO$,1993/12/31,1993,Exchange Rates,Taiwanese Dollar,United States Dollar,WM/Reuters,Taiwan New$ to United States Dollar (WMR),Active
UAE DIRHAM TO US $ (WMR),UAEDIR$,1994/12/9,1994,Exchange Rates,United Arab Emirates Dirham,United States Dollar,WM/Reuters,United Arab Emirates Dirham to United States Dollar (WMR),Active
UK POUND TO US $ (RFV),USBRITP,1986/1/2,1986,Exchange Rates,United Kingdom Pound,United States Dollar,GTIS - FTID/TR,United Kingdom Pound to United States Dollar (Refinitiv),Active
UK ? TO US $ 1M FWD (RFV),UKUSD1F,1996/12/31,1996,Exchange Rates,United Kingdom Pound,United States Dollar,Refinitiv,United Kingdom Sterling to United States Dollar 1 Month Forward (Refinitiv),Active
AUSTRALIAN $ TO US $,USDAUSP,1983/12/12,1983,Exchange Rates,Australian Dollar,United States Dollar,Reserve Bank of Australia/Thomson Reuters,Australian Dollar to United States Dollar,Active
CHINESE YUAN TO US $,CHUSDSP,1994/8/31,1994,Exchange Rates,Chinese Yuan Renminbi,United States Dollar,Bank of China Limited,Chinese Yuan to United States Dollar,Active
DKK TO USD (BOE),DKUSBOE,1975/1/2,1975,Exchange Rates,Danish Krone,United States Dollar,Bank of England,DKK to USD (BOE),Active
HKD TO USD (BOE),HKUSBOE,1977/1/4,1977,Exchange Rates,Hong Kong Dollar,United States Dollar,Bank of England,HKD to USD (BOE),Active
HUNGARIAN FORINT TO US $ (WMR),HUNFOR$,1993/12/31,1993,Exchange Rates,Hungarian Forint,United States Dollar,WM/Reuters,Hungarian Forint to United States Dollar (WMR),Active
JAPANESE YEN TO US $ 1M FWD (WMR),USJPY1F,1996/12/31,1996,Exchange Rates,Japanese Yen,United States Dollar,WM/Reuters,Japanese Yen to United States Dollar 1 Month Forward (WMR),Active
KRW TO USD (BOE),KOUSBOE,2005/4/1,2005,Exchange Rates,South Korean Won,United States Dollar,Bank of England,KRW to USD (BOE),Active
MEXICAN PESO TO US $ (RFV),TDMXNSP,1990/5/30,1990,Exchange Rates,Mexican Peso,United States Dollar,Refinitiv,Mexican Peso to United States Dollar (Refinitiv),Active
MSCI INR TO 1 USD,MSERINR,1992/12/31,1992,Exchange Rates,Indian Rupee,United States Dollar,MSCI,MSCI INR to 1 USD,Active
MSCI UK ? TO 1 USD,MSERGBP,1969/12/31,1969,Exchange Rates,United Kingdom Pound,United States Dollar,MSCI,MSCI United Kingdom Sterling to 1 USD,Active
NIGERIAN NAIRA TO US $ (WMR),NIGNAI$,1993/12/31,1993,Exchange Rates,Nigerian Naira,United States Dollar,WM/Reuters,Nigerian Naira to United States Dollar (WMR),Active
SOUTH KOREAN WON TO US $ (KO),KOUSDSP,1964/10/12,1964,Exchange Rates,South Korean Won,United States Dollar,The Bank of Korea,South Korean Won to United States Dollar (Ko),Active
SOUTH KOREAN WON TO US $ (RFV),TDKRWSP,1990/5/30,1990,Exchange Rates,South Korean Won,United States Dollar,Refinitiv,South Korean Won to United States Dollar (Refinitiv),Active
TAIWAN NEW $ TO US $ (TW),U$NTDSP,1992/1/6,1992,Exchange Rates,Taiwanese Dollar,United States Dollar,TEJ - The Taiwan Economic Journal,Taiwan New$ to United States Dollar (TW),Active
ALBANIAN LEK TO US $ (WMR),ALBNLK$,1998/12/1,1998,Exchange Rates,Albanian Lek,United States Dollar,WM/Reuters,Albanian Lek to United States Dollar (WMR),Active
ARGENTINE PESO TO US $ (RFV),TDARSSP,1990/11/19,1990,Exchange Rates,Argentine Peso,United States Dollar,Refinitiv,Argentine Peso to United States Dollar (Refinitiv),Active
ARGENTINE PESO TO US $ SPOT (U),CYE0399,2000/5/24,2000,Exchange Rates,Argentine Peso,United States Dollar,Refinitiv,Argentine Peso to United States Dollar Spot (Unofficial Rate),Active
DANISH KRONE TO US $ (RFV),TDDKKSP,1989/10/16,1989,Exchange Rates,Danish Krone,United States Dollar,Refinitiv,Danish Krone to United States Dollar (Refinitiv),Active
EGYPTIAN POUND TO US $ (RFV),TDEGPSP,1990/5/30,1990,Exchange Rates,Egyptian Pound,United States Dollar,Refinitiv,Egyptian Pound to United States Dollar (Refinitiv),Active
EURO TO US $ 1M FWD (RFV),EUDOL1F,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar 1 Month Forward (Refinitiv),Active
ISRAELI SHEKEL TO US $ (WMR),ISRSHE$,1993/12/31,1993,Exchange Rates,Israeli Sheqel,United States Dollar,WM/Reuters,Israeli Shekel to United States Dollar (WMR),Active
JAPANESE YEN TO US $ (JP),JPYN1UD,1993/9/1,1993,Exchange Rates,Japanese Yen,United States Dollar,Bank of Japan,Japanese Yen to United States Dollar (JP),Active
JAPANESE YEN TO US $ (MUFG),JSPTUSD,1995/6/20,1995,Exchange Rates,Japanese Yen,United States Dollar,Bank of Tokyo Mitsubishi,Japanese Yen to United States Dollar (MUFG),Active
JAPANESE YEN TO US $ 3M FWD (WMR),USJPY3F,1996/12/31,1996,Exchange Rates,Japanese Yen,United States Dollar,WM/Reuters,Japanese Yen to United States Dollar 3 Month Forward (WMR),Active
LEBANESE ? TO US $ (WMR),LEBANE$,1993/12/31,1993,Exchange Rates,Lebanese Pound,United States Dollar,WM/Reuters,Lebanese ? to United States Dollar (WMR),Active
MSCI ARS TO 1 USD,MSERARS,1987/12/31,1987,Exchange Rates,Argentine Peso,United States Dollar,MSCI,MSCI ARS to 1 USD,Active
MSCI CHF TO 1 USD,MSERCHF,1969/12/31,1969,Exchange Rates,Swiss Franc,United States Dollar,MSCI,MSCI Swiss Franc to 1 USD,Active
MSCI HKD TO 1 USD,MSERHKD,1969/12/31,1969,Exchange Rates,Hong Kong Dollar,United States Dollar,MSCI,MSCI HKD to 1 USD,Active
NEW TURKISH LIRA TO US $ O/N FWD,USTRYON,1997/10/27,1997,Exchange Rates,Turkish Lira,United States Dollar,WM/Reuters,New Turkish Lira to United States Dollar Overnight Forward,Active
NIGERIAN NAIRA TO US $ (RFV),TDNGNSP,1995/7/10,1995,Exchange Rates,Nigerian Naira,United States Dollar,Refinitiv,Nigerian Naira to United States Dollar (Refinitiv),Active
SEK TO USD (BOE),SDUSBOE,1975/1/2,1975,Exchange Rates,Swedish Krona,United States Dollar,Bank of England,SEK to USD (BOE),Active
SGD TO USD (BOE),SPUSBOE,2000/1/4,2000,Exchange Rates,Singaporean Dollar,United States Dollar,Bank of England,SGD to USD (BOE),Active
SINGAPORE $ TO US $ (SG),SGUSDSP,1985/1/3,1985,Exchange Rates,Singaporean Dollar,United States Dollar,DBS - Development Bank of Singapore,Singapore$ to United States Dollar (SG),Active
SOUTH AFRICA RAND TO US $ (RFV),TDZARSP,1989/10/16,1989,Exchange Rates,South African Rand,United States Dollar,Refinitiv,South Africa Rand to United States Dollar (Refinitiv),Active
THAI BAHT TO US $ (BOT),THUSDSP,1996/7/2,1996,Exchange Rates,Thai Baht,United States Dollar,Bank of Thailand,Thai Baht to United States Dollar (BOT),Active
THAI BAHT TO US $ (RFV),TDTHBSP,1991/5/6,1991,Exchange Rates,Thai Baht,United States Dollar,Refinitiv,Thai Baht to United States Dollar (Refinitiv),Active
UK ? TO US $ (RFV),USDOLLZ,1957/1/31,1957,Exchange Rates,United Kingdom Pound,United States Dollar,Refinitiv,United Kingdom Sterling to United States Dollar (Refinitiv),Active
VIETNAMESE DONG TO US $ (RFV),TDVNDSP,1995/4/10,1995,Exchange Rates,Vietnamese Dong,United States Dollar,Refinitiv,Vietnamese Dong to United States Dollar (Refinitiv),Active
ALBANIAN LEK TO US $ (RFV),TDALLSP,1994/9/7,1994,Exchange Rates,Albanian Lek,United States Dollar,Refinitiv,Albanian Lek to United States Dollar (Refinitiv),Active
AUSTRALIAN DOLLAR TO US $ (BOE),BOECAUD,2007/3/5,2007,Exchange Rates,Australian Dollar,United States Dollar,Bank of England,Australian Dollar to United States Dollar (BOE),Active
AUSTRIAN SCHIL.TO US $ (WMR),AUSTSC$,1993/12/31,1993,Exchange Rates,Austrian Schilling,United States Dollar,WM/Reuters,Austrian Schilling to United States Dollar (WMR),Active
BELGIAN FRANC TO US $ (WMR),BELGLU$,1993/12/31,1993,Exchange Rates,Belgian Franc,United States Dollar,WM/Reuters,Belgian Franc to United States Dollar (WMR),Active
CAMBODIA RIEL TO US $ (RFV),TDKHRSP,1994/11/24,1994,Exchange Rates,Cambodian Riel,United States Dollar,Refinitiv,Cambodia Riel to United States Dollar (Refinitiv),Active
CANADIAN $ TO US $ (RFV),USCDNDL,1986/1/2,1986,Exchange Rates,Canadian Dollar,United States Dollar,GTIS - FTID/TR,Canadian Dollar to United States Dollar (Refinitiv),Active
CANADIAN $ TO US $ 1M FWD (RFV),TDCAD1M,1990/5/25,1990,Exchange Rates,Canadian Dollar,United States Dollar,Refinitiv,Canadian Dollar to United States Dollar 1 Month Forward (Refinitiv),Active
CANADIAN DOLLAR TO US $ (BOE),BOECCAD,2007/3/5,2007,Exchange Rates,Canadian Dollar,United States Dollar,Bank of England,Canadian Dollar to United States Dollar (BOE),Active
CHINESE YUAN HK CNH TO US $ (WMR),CNHDOL$,2011/2/28,2011,Exchange Rates,Chinese Yuan Renminbi,United States Dollar,WM/Reuters,Chinese Yuan HK CNH to United States Dollar (WMR),Active
CHINESE YUAN TO US$ (BASE RATE),CHXRUSD,1994/8/31,1994,Exchange Rates,Chinese Yuan Renminbi,United States Dollar,The People's Bank of China,Chinese Yuan to United States Dollar (Base Rate),Active
COLOMBIAN PESO TO US $ (RFV),TDCOPSP,1994/4/18,1994,Exchange Rates,Colombian Peso,United States Dollar,Refinitiv,Colombian Peso to United States Dollar (Refinitiv),Active
CZECH KORUNA TO US $ (WMR),CZECHC$,1994/11/25,1994,Exchange Rates,Czech Koruna,United States Dollar,WM/Reuters,Czech Koruna to United States Dollar (WMR),Active
EGYPTIAN ? TO US $ (WMR),EGYPTN$,1994/12/8,1994,Exchange Rates,Egyptian Pound,United States Dollar,WM/Reuters,Egyptian Pound to United States Dollar (WMR),Active
ESTONIAN KROON TO US $ (WMR),ESTOKR$,1997/5/26,1997,Exchange Rates,Estonian Kroon,United States Dollar,WM/Reuters,Estonian Kroon to United States Dollar (WMR),Active
EURO TO US $ (RFV),USEURO.,1999/1/4,1999,Exchange Rates,Euro,United States Dollar,GTIS - FTID/TR,Euro to United States Dollar (Refinitiv),Active
EURO TO US $ 3M FWD (RFV),EUDOL3F,1998/12/31,1998,Exchange Rates,Euro,United States Dollar,Refinitiv,Euro to United States Dollar 3 Month Forward (Refinitiv),Active
FRENCH FRANC TO US $ (WMR),FRENFR$,1993/12/31,1993,Exchange Rates,French Franc,United States Dollar,WM/Reuters,French Franc to United States Dollar (WMR),Active
GBP TO US $ (RFV),TSUSDSP,2000/8/1,2000,Exchange Rates,United Kingdom Pound,United States Dollar,Refinitiv,GBP to United States Dollar (Refinitiv),Active
INDIAN RUPEE TO US $ (RFV),USINDNR,1986/1/2,1986,Exchange Rates,Indian Rupee,United States Dollar,GTIS - FTID/TR,Indian Rupee to United States Dollar (Refinitiv),Active
IRISH PUNT TO US $ (RFV),IPUNTEI,1993/12/31,1993,Exchange Rates,Irish Pound,United States Dollar,Refinitiv,Irish Punt to United States Dollar (Refinitiv),Active
JAPANESE YEN TO US $ 1M FWD (RFV),TDJPY1M,1990/5/25,1990,Exchange Rates,Japanese Yen,United States Dollar,Refinitiv,Japanese Yen to United States Dollar 1 Month Forward (Refinitiv),Active
MSCI CAD TO 1 USD,MSERCAD,1969/12/31,1969,Exchange Rates,Canadian Dollar,United States Dollar,MSCI,MSCI Canadian Dollar to 1 USD,Active
MSCI IDR TO 1 USD,MSERIDR,1987/12/31,1987,Exchange Rates,Indonesian Rupiah,United States Dollar,MSCI,MSCI IDR to 1 USD,Active
MSCI SEK TO 1 USD,MSERSEK,1969/12/31,1969,Exchange Rates,Swedish Krona,United States Dollar,MSCI,MSCI SEK to 1 USD,Active
MSCI ZAR TO 1 USD,MSERZAR,1992/12/31,1992,Exchange Rates,South African Rand,United States Dollar,MSCI,MSCI ZAR to 1 USD,Active
NEW ROMANIAN LEU TO U.S. $,RMUSDSP,1998/1/5,1998,Exchange Rates,Romanian Leu,United States Dollar,National Bank of Romania,New Romanian Leu to United States$,Active
PERUVIAN SOL TO US $ (RFV),TDPENSP,1991/1/15,1991,Exchange Rates,Peruvian Sol,United States Dollar,Refinitiv,Peruvian Sol to United States Dollar (Refinitiv),Active
POLISH ZLOTY TO US $ (RFV),TDPLNSP,1993/6/15,1993,Exchange Rates,Polish Zloty,United States Dollar,Refinitiv,Polish Zloty to United States Dollar (Refinitiv),Active
PORTUGUESE ESCUDO TO US $ (WMR),PORTES$,1993/12/31,1993,Exchange Rates,Portuguese Escudo,United States Dollar,WM/Reuters,Portuguese Escudo to United States Dollar (WMR),Active
RUB TO USD (BOE),RSUSBOE,2005/4/1,2005,Exchange Rates,Russian Federation Ruble,United States Dollar,Bank of England,Rub to USD (BOE),Active
SAUDI RIYAL TO US $ (RFV),TDSARSP,1989/10/23,1989,Exchange Rates,Saudi Arabian Riyal,United States Dollar,Refinitiv,Saudi Riyal to United States Dollar (Refinitiv),Active
SOUTH KOREAN WON TO US $ (RFV),USSKORW,1986/1/2,1986,Exchange Rates,South Korean Won,United States Dollar,GTIS - FTID/TR,South Korean Won to United States Dollar (Refinitiv),Active
SPANISH PESETA TO US $ (WMR),SPANPE$,1993/12/31,1993,Exchange Rates,Spanish Peseta,United States Dollar,WM/Reuters,Spanish Peseta to United States Dollar (WMR),Active
SWEDISH KRONA TO US $ (RFV),TDSEKSP,1971/1/4,1971,Exchange Rates,Swedish Krona,United States Dollar,Refinitiv,Swedish Krona to United States Dollar (Refinitiv),Active
SWISS FRANC TO US $ (RFV),USSWISF,1986/1/2,1986,Exchange Rates,Swiss Franc,United States Dollar,GTIS - FTID/TR,Swiss Franc to United States Dollar (Refinitiv),Active
SWISS FRANC TO US $ 1M FWD (RFV),TDCHF1M,1990/5/25,1990,Exchange Rates,Swiss Franc,United States Dollar,Refinitiv,Swiss Franc to United States Dollar 1 Month Forward (Refinitiv),Active
SWISS FRANC TO US $ 1M FWD (WMR),USCHF1F,1996/12/31,1996,Exchange Rates,Swiss Franc,United States Dollar,WM/Reuters,Swiss Franc to United States Dollar 1 Month Forward (WMR),Active
TAIWAN $ TO US $ (RFV),TDTWDSP,1990/5/30,1990,Exchange Rates,Taiwanese Dollar,United States Dollar,Refinitiv,Taiwan$ to United States Dollar (Refinitiv),Active
TRY TO USD O/N FORWARD,TDTRYON,2007/3/6,2007,Exchange Rates,Turkish Lira,United States Dollar,Refinitiv,TRY to USD Overnight Forward,Active
TWD TO USD (BOE),TWUSBOE,2000/1/4,2000,Exchange Rates,Taiwanese Dollar,United States Dollar,Bank of England,TWD to USD (BOE),Active
