Name,Symbol,Start Date,Hist.,Category,From Currency,To Currency,Source,Full Name,Activity
US $ TO MALAYSIAN RINGGIT(RFV),MALAYUS,1986/1/2,1986,Exchange Rates,United States Dollar,Malaysian Ringgit,GTIS - FTID/TR,United States Dollar to Malaysian Ringgit (Refinitiv),Active
US $ TO MALTESE LIRA (GTIS DISC,MALTLUS,1986/1/2,1986,Exchange Rates,United States Dollar,Maltese Lira,GTIS - FTID/TR,United States Dollar to Maltese Lira (GTIS Discontinued,Dead
US $ TO MEXICAN PESO (RFV),MEXPFUS,1986/1/2,1986,Exchange Rates,United States Dollar,Mexican Peso,GTIS - FTID/TR,United States Dollar to Mexican Peso (Refinitiv),Active
US $ TO NETHERLANDS GUILDER (G DISC,NETHGUS,1986/1/2,1986,Exchange Rates,United States Dollar,Dutch Guilder,GTIS - FTID/TR,United States Dollar to Netherlands Guilder (G Discontinued,Dead
US $ TO NEW ZEALAND $ (RFV),NEWZDUS,1986/1/2,1986,Exchange Rates,United States Dollar,New Zealand Dollar,GTIS - FTID/TR,United States Dollar to New Zealand Dollar (Refinitiv),Active
US $ TO NORWEGIAN KRONE (RFV),NORGKUS,1986/1/2,1986,Exchange Rates,United States Dollar,Norwegian Krone,GTIS - FTID/TR,United States Dollar to Norwegian Krone (Refinitiv),Active
US $ TO PAKISTAN RUPEE (RFV),PAKISUS,1986/1/2,1986,Exchange Rates,United States Dollar,Pakistani Rupee,GTIS - FTID/TR,United States Dollar to Pakistan Rupee (Refinitiv),Active
US $ TO PERUVIAN SOL (RFV),PERUIUS,1986/1/2,1986,Exchange Rates,United States Dollar,Peruvian Sol,GTIS - FTID/TR,United States Dollar to Peruvian Sol (Refinitiv),Active
US $ TO PHILIPPINE PESO (RFV),PHILPUS,1986/1/2,1986,Exchange Rates,United States Dollar,Philippine Peso,GTIS - FTID/TR,United States Dollar to Philippine Peso (Refinitiv),Active
US $ TO PORTUGUESE ESCUDO (GT DISC,PORTEUS,1986/1/2,1986,Exchange Rates,United States Dollar,Portuguese Escudo,GTIS - FTID/TR,United States Dollar to Portuguese Escudo (GT Discontinued,Dead
US $ TO SAUDI RIYAL (RFV),SAUDRUS,1986/1/2,1986,Exchange Rates,United States Dollar,Saudi Arabian Riyal,GTIS - FTID/TR,United States Dollar to Saudi Riyal (Refinitiv),Active
US $ TO SDR DISC DISC,SDRECUS,1986/1/2,1986,Exchange Rates,United States Dollar,Special Drawing Right,GTIS - FTID/TR,United States Dollar to SDR Discontinued Discontinued,Dead
US $ TO SINGAPORE $ (RFV),SINGDUS,1986/1/2,1986,Exchange Rates,United States Dollar,Singaporean Dollar,GTIS - FTID/TR,United States Dollar to Singapore$ (Refinitiv),Active
US $ TO SOUTH AFR. CM.RAND(RFV),SARCMUS,1986/1/2,1986,Exchange Rates,United States Dollar,South African Rand,GTIS - FTID/TR,United States Dollar to South AFR CM Rand (Refinitiv),Active
US $ TO SOUTH AFR. FN.RAND(RFV),SARFNUS,1986/1/2,1986,Exchange Rates,United States Dollar,South African Rand,GTIS - FTID/TR,United States Dollar to South AFR FN Rand (Refinitiv),Active
US $ TO SOUTH KOREAN WON (RFV),SKORWUS,1986/1/2,1986,Exchange Rates,United States Dollar,South Korean Won,GTIS - FTID/TR,United States Dollar to South Korean Won (Refinitiv),Active
US $ TO SPANISH PESETA (GT DISC,SPANPUS,1986/1/2,1986,Exchange Rates,United States Dollar,Spanish Peseta,GTIS - FTID/TR,United States Dollar to Spanish Peseta (GT Discontinued,Dead
US $ TO SWEDISH KRONA (RFV),SWEDKUS,1986/1/2,1986,Exchange Rates,United States Dollar,Swedish Krona,GTIS - FTID/TR,United States Dollar to Swedish Krona (Refinitiv),Active
US $ TO SWISS FRANC (RFV),SWISFUS,1986/1/2,1986,Exchange Rates,United States Dollar,Swiss Franc,GTIS - FTID/TR,United States Dollar to Swiss Franc (Refinitiv),Active
US $ TO SWISS FRANC 1M FWD DISC,SF30DUS,1986/1/2,1986,Exchange Rates,United States Dollar,Swiss Franc,The Wall Street Journal,United States Dollar to Swiss Franc 1 Month Forward Discontinued,Dead
US $ TO SWISS FRANC 3M FWD DISC,SF90DUS,1986/1/2,1986,Exchange Rates,United States Dollar,Swiss Franc,The Wall Street Journal,United States Dollar to Swiss Franc 3 Month Forward Discontinued,Dead
US $ TO SWISS FRANC 6M FWD DISC,SF180US,1986/1/2,1986,Exchange Rates,United States Dollar,Swiss Franc,The Wall Street Journal,United States Dollar to Swiss Franc 6 Month Forward Discontinued,Dead
US $ TO TAIWAN NEW $ (RFV),TAIWDUS,1986/1/2,1986,Exchange Rates,United States Dollar,Taiwanese Dollar,GTIS - FTID/TR,United States Dollar to Taiwan New$ (Refinitiv),Active
US $ TO THAI BAHT (RFV),THAIBUS,1986/1/2,1986,Exchange Rates,United States Dollar,Thai Baht,GTIS - FTID/TR,United States Dollar to Thai Baht (Refinitiv),Active
US $ TO UAE DIRHAM (RFV),UTDADUS,1986/1/2,1986,Exchange Rates,United States Dollar,United Arab Emirates Dirham,GTIS - FTID/TR,United States Dollar to United Arab Emirates Dirham (Refinitiv),Active
US $ TO UK POUND 1M FWD DISC,BP30DUS,1986/1/2,1986,Exchange Rates,United States Dollar,United Kingdom Pound,The Wall Street Journal,United States Dollar to United Kingdom Pound 1 Month Forward Discontinued,Dead
US $ TO UK POUND 3M FWD DISC,BP90DUS,1986/1/2,1986,Exchange Rates,United States Dollar,United Kingdom Pound,The Wall Street Journal,United States Dollar to United Kingdom Pound 3 Month Forward Discontinued,Dead
US $ TO UK POUND 6M FWD DISC,BP180US,1986/1/2,1986,Exchange Rates,United States Dollar,United Kingdom Pound,The Wall Street Journal,United States Dollar to United Kingdom Pound 6 Month Forward Discontinued,Dead
US $ TO URUGUAY PESO (RFV),URUGPUS,1986/1/2,1986,Exchange Rates,United States Dollar,Uruguayan Peso,GTIS - FTID/TR,United States Dollar to Uruguay Peso (Refinitiv),Active
US $ TO VENEZ. BOL. S. (RFV),VENBSUS,1986/1/2,1986,Exchange Rates,United States Dollar,Venezuelan Bolivar Soberano,Refinitiv,United States Dollar to Venezuelan Bolivar S (Refinitiv),Active
US $ TO VENEZUELAN BOL. F.(RFV),VENBFUS,1986/1/2,1986,Exchange Rates,United States Dollar,Venezuelan Bolivar Fuerte,GTIS - FTID/TR,United States Dollar to Venezuelan Bolivar F (Refinitiv),Active
US $ TO VENEZUELAN BOLIVAR OFFICIAL,VENBOUS,1986/1/2,1986,Exchange Rates,United States Dollar,Venezuelan Bolivar Fuerte,Refinitiv,United States Dollar to Venezuelan Bolivar Official,Active
US $ TO UK GBP (RFV),BRITPUS,1986/1/3,1986,Exchange Rates,United States Dollar,United Kingdom Pound,GTIS - FTID/TR,United States Dollar to United Kingdom GBP (Refinitiv),Active
US $ TO NEW TURKISH LIRA (RFV),TURKLUS,1986/2/11,1986,Exchange Rates,United States Dollar,Turkish Lira,GTIS - FTID/TR,United States Dollar to New Turkish Lira (Refinitiv),Active
US $ TO NEW ZEALAND $ DISC,NZUSDSP,1986/7/1,1986,Exchange Rates,United States Dollar,New Zealand Dollar,Reserve Bank of New Zealand,United States Dollar to New Zealand Dollar Discontinued,Dead
US $ INDEX 1990=100 DISC,JP9USNN,1986/8/1,1986,Exchange Rates,United States Dollar,United States Dollar,J.P. Morgan,United States Dollar Index 1990 = 100 Discontinued,Dead
US $ TO IRISH PUNT (HSBC) DISC,MBIEPSP,1986/10/9,1986,Exchange Rates,United States Dollar,Irish Pound,HSBC,United States Dollar to Irish Punt (HSBC) Discontinued,Dead
US $ TO IRISH PUNT 1MF (HSBC) DISC,MBIEP1F,1986/10/9,1986,Exchange Rates,United States Dollar,Irish Pound,HSBC,United States Dollar to Irish Punt 1MF (HSBC) Discontinued,Dead
US $ TO IRISH PUNT 1YF (HSBC) DISC,MBIEPYF,1986/10/9,1986,Exchange Rates,United States Dollar,Irish Pound,HSBC,United States Dollar to Irish Punt 1YF (HSBC) Discontinued,Dead
US $ TO IRISH PUNT 2MF (HSBC) DISC,MBIEP2F,1986/10/9,1986,Exchange Rates,United States Dollar,Irish Pound,HSBC,United States Dollar to Irish Punt 2MF (HSBC) Discontinued,Dead
US $ TO IRISH PUNT 3MF (HSBC) DISC,MBIEP3F,1986/10/9,1986,Exchange Rates,United States Dollar,Irish Pound,HSBC,United States Dollar to Irish Punt 3MF (HSBC) Discontinued,Dead
US $ TO IRISH PUNT 6MF (HSBC) DISC,MBIEP6F,1986/10/9,1986,Exchange Rates,United States Dollar,Irish Pound,HSBC,United States Dollar to Irish Punt 6MF (HSBC) Discontinued,Dead
US $ TO UK # (HSBC) DISC,MBGBPSP,1986/10/9,1986,Exchange Rates,United States Dollar,United Kingdom Pound,HSBC,United States Dollar to United Kingdom # (HSBC) Discontinued,Dead
